"","constituency","code","vaxed","pop","per_vax","lab_share"
"206","HASTINGS AND RYE","E14000735",72807,117294,0.620722287585043,0.42
"207","HAVANT","E14000736",66788,99764,0.669459925424001,0.18
"208","HAYES AND HARLINGTON","E14000737",74648,153643,0.485853569638708,0.56
"209","HAZEL GROVE","E14000738",58342,85431,0.682913696433379,0.12
"210","HEMEL HEMPSTEAD","E14000739",69141,114697,0.602814371779558,0.28
"211","HEMSWORTH","E14000740",67689,106969,0.63279080855201,0.38
"212","HENDON","E14000741",81666,170666,0.478513587943703,0.41
"213","HENLEY","E14000742",76575,111578,0.686291204359282,0.1
"214","HEREFORD AND SOUTH HEREFORDSHIRE","E14000743",64458,102874,0.626572311760017,0.22
"215","HERTFORD AND STORTFORD","E14000744",78718,123678,0.636475363443781,0.23
"216","HERTSMERE","E14000745",71698,118819,0.603422011631136,0.22
"217","HEXHAM","E14000746",59406,80224,0.740501595532509,0.32
"218","HEYWOOD AND MIDDLETON","E14000747",69451,117284,0.592160908563828,0.42
"219","HIGH PEAK","E14000748",67207,95890,0.700876003754302,0.45
"220","HITCHIN AND HARPENDEN","E14000749",72528,111254,0.651913639060169,0.17
"221","HOLBORN AND ST PANCRAS","E14000750",82965,179414,0.462422107527841,0.65
"222","HORNCHURCH AND UPMINSTER","E14000751",71477,119124,0.600021825996441,0.23
"223","HORNSEY AND WOOD GREEN","E14000752",79977,152503,0.524429027625686,0.58
"224","HORSHAM","E14000753",82307,124412,0.661568015947015,0.15
"225","HOUGHTON AND SUNDERLAND SOUTH","E14000754",63929,93353,0.684809272331901,0.41
"226","HOVE","E14000755",69894,115579,0.604729232819111,0.58
"227","HUDDERSFIELD","E14000756",59745,107501,0.555762271978865,0.49
"228","HUNTINGDON","E14000757",85099,130509,0.652054647572198,0.22
"229","HYNDBURN","E14000758",57453,98742,0.581849668833931,0.42
"230","ILFORD NORTH","E14000759",66423,126054,0.526940834880289,0.51
"231","ILFORD SOUTH","E14000760",78099,175930,0.443920877621781,0.66
"232","IPSWICH","E14000761",71977,128098,0.561890115380412,0.39
"233","ISLE OF WIGHT","E14000762",103879,147714,0.703244106855139,0.24
"234","ISLINGTON NORTH","E14000763",67071,134305,0.499393172257176,0.64
"235","ISLINGTON SOUTH AND FINSBURY","E14000764",68998,144830,0.476406821791065,0.56
"236","JARROW","E14000765",58018,87284,0.664703725768755,0.45
"237","KEIGHLEY","E14000766",65984,105326,0.62647399502497,0.44
"238","KENILWORTH AND SOUTHAM","E14000767",65145,94052,0.692648747501382,0.18
"239","KENSINGTON","E14000768",67189,149745,0.448689438712478,0.38
"240","KETTERING","E14000769",69056,111119,0.621459876348779,0.26
"241","KINGSTON AND SURBITON","E14000770",82693,143593,0.575884618330977,0.11
"242","KINGSTON UPON HULL EAST","E14000771",58147,96331,0.603616696598188,0.39
"243","KINGSTON UPON HULL NORTH","E14000772",57583,106624,0.540056647659064,0.5
"244","KINGSTON UPON HULL WEST AND HESSLE","E14000773",54145,96184,0.562931464692672,0.43
"245","KINGSWOOD","E14000774",63852,94992,0.672182920667004,0.33
"246","KNOWSLEY","E14000775",67415,120618,0.558913263360361,0.81
"247","LANCASTER AND FLEETWOOD","E14000776",61928,102401,0.604759719143368,0.47
"248","LEEDS CENTRAL","E14000777",75039,185587,0.404333277654146,0.62
"249","LEEDS EAST","E14000778",58264,119937,0.485788372228753,0.5
"250","LEEDS NORTH EAST","E14000779",60921,106763,0.570619034684301,0.58
"251","LEEDS NORTH WEST","E14000780",56245,91605,0.613994869275695,0.49
"252","LEEDS WEST","E14000781",59075,107484,0.549616687134829,0.55
"253","LEICESTER EAST","E14000782",78338,140291,0.558396475896529,0.51
"254","LEICESTER SOUTH","E14000783",71556,148948,0.480409270349384,0.67
"255","LEICESTER WEST","E14000784",59595,124535,0.478540169430281,0.5
"256","LEIGH","E14000785",70680,111372,0.63462988902058,0.41
"257","LEWES","E14000786",66545,96339,0.69073791507074,0.06
"258","LEWISHAM EAST","E14000787",58497,122643,0.476969741444681,0.6
"259","LEWISHAM WEST AND PENGE","E14000788",64565,123783,0.521598280862477,0.61
"260","LEWISHAM, DEPTFORD","E14000789",70935,152393,0.465474135951126,0.71
"261","LEYTON AND WANSTEAD","E14000790",60008,131201,0.457374562693882,0.65
"262","LICHFIELD","E14000791",71978,102769,0.700386303262657,0.21
"263","LINCOLN","E14000792",71675,122499,0.585106817198508,0.41
"264","LIVERPOOL, RIVERSIDE","E14000793",69864,147206,0.474600220099724,0.78
"265","LIVERPOOL, WALTON","E14000794",56234,105088,0.535113428745432,0.85
"266","LIVERPOOL, WAVERTREE","E14000795",55663,108224,0.5143313867534,0.72
"267","LIVERPOOL, WEST DERBY","E14000796",57403,104197,0.55090837548106,0.78
"268","LOUGHBOROUGH","E14000797",71781,116070,0.61842853450504,0.38
"269","LOUTH AND HORNCASTLE","E14000798",76327,105530,0.723273002937553,0.18
"270","LUDLOW","E14000799",64091,87366,0.733592015200421,0.15
"271","LUTON NORTH","E14000800",57921,118995,0.486751544182529,0.55
"272","LUTON SOUTH","E14000801",62113,141300,0.439582448690729,0.52
"273","MACCLESFIELD","E14000802",69611,100633,0.691731340613914,0.33
"274","MAIDENHEAD","E14000803",76126,117477,0.648007695123301,0.14
"275","MAIDSTONE AND THE WEALD","E14000804",71148,117018,0.608009024252679,0.18
"276","MAKERFIELD","E14000805",68879,103385,0.666237848817527,0.45
"277","MALDON","E14000806",67347,98222,0.685661053531795,0.12
"278","MANCHESTER CENTRAL","E14000807",82312,193864,0.424586307927207,0.7
"279","MANCHESTER, GORTON","E14000808",64577,147169,0.438794854894713,0.78
