"","constituency","code","vaxed","pop","per_vax","lab_share"
"521","WOLVERHAMPTON SOUTH EAST","E14001050",57883,107438,0.538757236731883,0.46
"522","WOLVERHAMPTON SOUTH WEST","E14001051",54380,98400,0.552642276422764,0.44
"523","WORCESTER","E14001052",68215,108466,0.628906754190253,0.38
"524","WORKINGTON","E14001053",59974,81743,0.733689734900848,0.39
"525","WORSLEY AND ECCLES SOUTH","E14001054",64827,114677,0.565300801381271,0.46
"526","WORTHING WEST","E14001055",74237,105872,0.701195783587729,0.29
"527","WYCOMBE","E14001056",68647,121584,0.564605540202658,0.38
"528","WYRE AND PRESTON NORTH","E14001057",71782,99924,0.718365958128177,0.28
"529","WYRE FOREST","E14001058",72633,105748,0.686849869501078,0.23
"530","WYTHENSHAWE AND SALE EAST","E14001059",68900,122258,0.5635623026714,0.53
"531","YEOVIL","E14001060",80358,119905,0.670180559609691,0.06
"532","YORK CENTRAL","E14001061",66156,113352,0.583633283929706,0.55
"533","YORK OUTER","E14001062",70705,105403,0.670806333785566,0.31
